Bins,H3K9me3,H3K27me3,DNAme
100033,0.076224834,0.425793506,25.45454545
1000337,0.228674502,0.354827922,12.28070175
1000438,0.457349004,0.674173051,18.68131868
1000496,0.457349004,0.851587012,4.347826087
100051,2.28674502,1.099966557,19.11764706
100072,0.686023506,0.31934513,6.25
1001389,0,0.425793506,22.03389831
1001582,0,0.177413961,19.44444444
1002025,0.533573838,0.141931169,14
1002187,0.838473174,0.31934513,11.11111111
10023,0.228674502,0.141931169,11.5
1002802,3.735016866,0.887069804,19.56521739
1002867,0.152449668,0.141931169,9.756097561
1003044,0.838473174,0.390310714,16.27906977
1003778,0.686023506,1.845105193,13.76146789
1003886,1.676946348,1.099966557,10
1003954,0.304899336,2.164450323,0.3003003
1003961,0.228674502,0.638690259,14.28571429
1003977,0.076224834,0,16.32653061
1003980,0.152449668,0.390310714,20.58823529
1004003,0.304899336,0.425793506,9.090909091
1004011,1.067147676,0.745138636,5.970149254
1004023,0.228674502,0.49675909,14.11764706
1004047,0.533573838,0.177413961,12.12121212
1004100,0.152449668,0.106448377,8.426966292
1004126,0.914698008,2.022519154,9.677419355
1004160,0.304899336,0.390310714,12.90322581
1004239,0.76224834,0.461276298,16.66666667
1004272,1.14337251,0.31934513,8.196721311
1004293,0.304899336,0.283862337,3.125
1004312,2.66786919,0.81610422,24.59016393
1004383,0.533573838,0.567724675,8.411214953
1004396,0.304899336,0.567724675,14.75409836
1004409,0.304899336,0.49675909,5.208333333
1004422,0.686023506,0.851587012,12.5
1004444,0.838473174,0.461276298,8.450704225
10045,0.609798672,0,6.52173913
1004609,0.457349004,0.283862337,9.933774834
1004720,0.609798672,0.425793506,17.29323308
1004825,0.990922842,0.674173051,13.7254902
1004932,0,0.354827922,1.785714286
1004990,0.152449668,0.070965584,24.07407407
1005052,3.506342364,3.867624347,0
1005279,1.067147676,0.567724675,21.73913043
1005342,2.515419522,0.958035389,11.39240506
1005506,0.914698008,0.887069804,11.26760563
1005612,0,0.745138636,21.21212121
1005659,0.457349004,0.745138636,19.35483871
1005716,0.609798672,0.106448377,11.11111111
1005992,0.533573838,0.49675909,9.677419355
1006017,0.457349004,0.354827922,10.86956522
1006040,0.686023506,0.709655844,12.94117647
1006056,0.533573838,0.354827922,25
1006135,0.152449668,0.81610422,18.27956989
1006199,1.14337251,1.029000973,14.1025641
1006282,0.076224834,0.212896753,9.523809524
1006311,0.609798672,1.419311687,12.24489796
1006397,1.295822178,1.099966557,14.14141414
1006503,0.609798672,0.958035389,12.32876712
1006511,6.707785391,2.590243829,25.47169811
1006601,1.067147676,1.703174024,21.50537634
1006647,0.152449668,0.567724675,11.11111111
1006709,0.304899336,0.141931169,13.46153846
1006804,2.362969854,2.590243829,5.955334988
1006805,0.990922842,0.993518181,17.46031746
1006826,0.76224834,0.390310714,4.504504505
1006859,0.152449668,0.461276298,14
1006866,0.609798672,0.81610422,18.18181818
1006885,0.152449668,0.390310714,14.55696203
1006887,0.152449668,0.354827922,4.761904762
1006912,1.372047012,2.058001946,20.6557377
1006971,0.609798672,0.81610422,16.59919028
1006990,0.457349004,1.206414934,13.8047138
1006996,0.533573838,0.354827922,12.06896552
1007138,0.457349004,0.567724675,9.090909091
1007141,1.067147676,1.348346103,6.862745098
1007155,1.52449668,1.064483765,16.41791045
1007201,0.457349004,1.029000973,16.33986928
1007203,0.457349004,0.567724675,2
1007207,0.152449668,0.532241883,16
1007210,0.304899336,0.461276298,15.84158416
1007231,0.457349004,0.461276298,14.28571429
1007256,0.457349004,0.887069804,9.160305344
1007261,0.533573838,0.461276298,5.555555556
1007293,0.152449668,0.81610422,2.325581395
1007350,0.686023506,1.277380518,17.80821918
1007508,0.152449668,0.141931169,14
1007510,0,0.532241883,10.9375
1007605,0.304899336,0.49675909,13.84615385
1007625,0.228674502,0.709655844,12
1007637,0.533573838,0.461276298,9.433962264
1007687,0.304899336,1.029000973,16.83168317
1008166,0.457349004,0.31934513,8
1008243,1.981845684,0.674173051,11.66666667
1008438,7.012684727,2.625726621,44.44444444
1008566,0.76224834,0.603207467,13.79310345
1008607,2.28674502,0.922552597,8.695652174
1008692,4.649714873,1.596725648,22.53521127
1008733,1.676946348,0.212896753,8.333333333
1008802,0.76224834,1.064483765,10.76923077
1008806,0.304899336,0.567724675,11.11111111
1008814,0.457349004,1.064483765,20.3125
1008824,0.76224834,1.13544935,12.92134831
1008925,0.686023506,1.099966557,7.317073171
1008931,0,0.745138636,19.7080292
1008946,0.457349004,1.63220844,6.870229008
1008964,4.344815537,1.63220844,42.10526316
1008981,0.609798672,0.532241883,14.0625
1009057,0.304899336,1.099966557,17.14285714
1009078,0.609798672,0.922552597,20.52980132
1009093,0.609798672,0.567724675,9.836065574
1009094,0.533573838,0.461276298,19.78021978
1009097,1.067147676,0.461276298,13.67521368
1009141,0.533573838,1.170932142,8.695652174
1009177,0.152449668,1.029000973,8.888888889
1009199,0.38112417,0.390310714,13.43283582
1009207,0.990922842,1.667691232,14.14141414
1009261,0.76224834,1.774139609,17.91044776
1009280,0.914698008,0.674173051,14.81481481
1009288,1.219597344,0.887069804,15.65217391
1009296,1.295822178,1.667691232,13.65461847
1009316,4.878389375,2.128967531,31.95876289
1009328,0.228674502,1.454794479,20.12195122
1009394,0.152449668,1.845105193,0
1009396,0.914698008,0.248379545,3.125
1009446,0.304899336,0.674173051,9.836065574
1009453,1.372047012,2.590243829,6.382978723
1009456,0.990922842,1.099966557,11.11111111
1009467,0.076224834,1.312863311,11.62790698
1009504,0.38112417,0.283862337,12.65822785
1009563,0.457349004,0.070965584,6.134969325
1009581,2.439194688,1.95155357,9.782608696
1009592,0.533573838,0.922552597,15.31531532
1009628,1.52449668,1.490277271,10.06289308
1009695,0.609798672,1.312863311,9.090909091
1009741,0.609798672,0.993518181,15.27777778
1009745,0.533573838,2.128967531,10.90909091
1009751,1.067147676,0.532241883,13.5483871
1009760,1.14337251,0.958035389,10.81081081
1009762,0.304899336,0.709655844,12.61261261
1009802,0.304899336,0.425793506,9.523809524
1009833,1.676946348,1.561242856,16.17647059
1009840,0.990922842,0.780621428,16.12903226
1009863,1.981845684,1.525760064,13.00813008
1009895,0.533573838,0.958035389,15.78947368
1009939,0.838473174,0.993518181,11.67883212
1009955,0.76224834,1.916070778,1.785714286
1009963,0.686023506,1.029000973,6.010928962
1009966,1.14337251,0.745138636,23.4375
1009993,0.76224834,1.13544935,6.8
1009998,0.609798672,0.425793506,12.45136187
1010012,0.304899336,0.425793506,4.739336493
1010020,0.457349004,0.390310714,20.33898305
1010073,0.152449668,1.454794479,12.63736264
1010090,0.304899336,0.283862337,12
1010141,0.457349004,0.958035389,10.73619632
1010174,1.14337251,0.745138636,11.64383562
1010176,0,0.283862337,7.329842932
1010253,0.076224834,0.248379545,5.747126437
1010339,0.914698008,2.199933115,9.243697479
1010373,0,1.170932142,5.839416058
1010383,1.52449668,0.887069804,11.32075472
1010403,2.515419522,0.958035389,10.13513514
1010427,0.38112417,1.206414934,2.173913043
1010442,0.609798672,1.419311687,8.24742268
1010468,1.448271846,1.845105193,3.896103896
1010496,0.304899336,1.206414934,9.009009009
1010550,0.990922842,0.851587012,12.32876712
1010555,1.676946348,3.441830841,8.19112628
1010605,0.990922842,1.987036362,6.557377049
1010624,1.676946348,4.364383438,0.163132137
1010646,0.686023506,1.277380518,13.93442623
1010649,0.914698008,2.377347076,10.64814815
1010675,1.219597344,2.377347076,14.94252874
1010678,1.52449668,2.235415907,2.5
1010686,2.744094024,4.0805211,16.85393258
1010713,0.38112417,0.922552597,10.74380165
1010799,0.228674502,1.561242856,3.333333333
1010813,1.372047012,1.738656817,9.811320755
1010838,0.838473174,0.532241883,11.11111111
1010840,0.304899336,0.390310714,16.23931624
1010874,0.304899336,0.638690259,16.94444444
1010880,0,0.461276298,15.46391753
1010882,0,0.141931169,14.11042945
1010937,0,0.141931169,13.8121547
1011096,0.228674502,0.49675909,12.38938053
1011107,0.609798672,0.532241883,9.022556391
1011143,1.14337251,0.958035389,6.751054852
1011161,0.838473174,1.029000973,2.941176471
1011300,0,0.638690259,4
1011317,0.304899336,0.425793506,15.70680628
1011351,0,0.283862337,14.98371336
1011389,1.219597344,1.454794479,9.615384615
1011436,0.914698008,0.49675909,16.43835616
1011447,0.457349004,0.638690259,9.333333333
1011488,0,0.745138636,14.13043478
1011493,0.457349004,0.283862337,9.87654321
1011540,0.457349004,0.993518181,20
1011553,0.076224834,0.425793506,0.877192982
1011626,1.219597344,2.44831266,19.90950226
1011648,0,0.354827922,13.95348837
1011655,0.838473174,0.425793506,5.882352941
1011673,0.228674502,0.958035389,16.23036649
1011675,1.219597344,0.212896753,7.438016529
1011677,0,0.461276298,1.639344262
1011715,0.228674502,0.31934513,7.738095238
1011722,1.067147676,0.070965584,7.954545455
1011748,1.600721514,2.164450323,0
1011793,1.829396016,3.370865257,15.38461538
1011814,0.609798672,1.490277271,9.090909091
1011818,0.533573838,1.029000973,15.90909091
1011877,0.533573838,2.128967531,9.246575342
1011911,2.210520186,2.483795452,15.95744681
1011949,1.295822178,4.257935061,0
1012017,0.609798672,1.95155357,11.33004926
1012019,2.058070518,0.922552597,17
1012054,0.152449668,0.993518181,13.55932203
1012094,0.686023506,1.241897726,8
1012212,0.457349004,0.81610422,15.50387597
1012245,1.753171182,0.993518181,29.09090909
1012268,0.990922842,1.206414934,19.90950226
1012269,0.76224834,1.63220844,11.82108626
1012313,0.152449668,0.922552597,5.970149254
1012329,2.058070518,1.596725648,14.81481481
1012356,0.686023506,0.709655844,2.222222222
1012365,0.152449668,1.029000973,9.734513274
1012407,0.152449668,0.674173051,16.03773585
1012457,0.152449668,0.709655844,13.58024691
1012521,0.914698008,1.490277271,17.64705882
1012555,1.295822178,1.525760064,18.47826087
1012591,0.457349004,0.81610422,14.4
1012596,0.609798672,1.63220844,14.21800948
1012609,0.304899336,0.780621428,14.43298969
1012619,0.228674502,1.064483765,5.376344086
1012656,0.838473174,1.63220844,10.41666667
1012663,1.448271846,1.170932142,16.39344262
1012671,0.457349004,0.532241883,14.01869159
1012708,0.609798672,1.099966557,13.4751773
1012725,0.914698008,0.81610422,16.07142857
1012782,1.90562085,1.170932142,15
1012803,0.533573838,1.525760064,10.86956522
1012846,0.304899336,0.390310714,20.93023256
1012932,1.219597344,2.270898699,21.69811321
1013024,0.152449668,0.354827922,13.15789474
1013188,0.304899336,1.170932142,14.68531469
1013203,0.304899336,1.206414934,5.5
1013221,0.38112417,1.099966557,12.82051282
1013238,0.228674502,0.958035389,22.60869565
1013252,0.38112417,0.49675909,2.040816327
1013256,0.533573838,0.993518181,8.974358974
1013263,1.067147676,0.638690259,10.30927835
1013311,1.372047012,1.277380518,8.602150538
1013326,2.28674502,2.022519154,1.769911504
1013355,0.457349004,1.667691232,10.98901099
1013358,0.38112417,0.958035389,5.882352941
1013596,0.990922842,3.690210386,7.87037037
1013598,1.448271846,3.051520127,0.744878957
1013635,0.457349004,0.81610422,18.36065574
1013637,0.304899336,0.81610422,1.714285714
1013646,0.304899336,1.348346103,14.85507246
1013681,0.457349004,0.745138636,15.53784861
1013688,0.76224834,0.532241883,12.72727273
1013803,0.990922842,2.164450323,10.22727273
1013843,0.76224834,0.532241883,0.23923445
1013875,0.533573838,0.106448377,13.23529412
1013909,0,0.354827922,6.349206349
1013949,1.219597344,0.354827922,4.109589041
1013962,0.304899336,0.49675909,12.14285714
1013968,0,0.177413961,12.44239631
1013972,0.228674502,0.354827922,19.44444444
1013973,0,0.248379545,14.9122807
1014005,1.753171182,1.880587985,12.30769231
1014037,0.533573838,0.81610422,14.14141414
1014063,0.152449668,0.035482792,11.71875
1014119,0.076224834,0,6.666666667
1014120,0.304899336,0.070965584,8.823529412
1014133,0.152449668,0.141931169,7.092198582
1014141,0.304899336,0.141931169,14.51612903
1014180,0.152449668,0.461276298,9.87654321
1014197,0.304899336,0.922552597,1.818181818
1014230,0.304899336,0.532241883,4.568527919
1014277,0.990922842,1.206414934,23.37662338
1014405,0,1.170932142,7.339449541
1014446,0.609798672,0.81610422,20.75471698
1014454,0.914698008,1.95155357,12.71676301
1014474,0.838473174,1.206414934,10.18518519
1014489,3.277667862,2.093484738,20
1014509,0.152449668,0.354827922,13.04347826
1014511,0.457349004,0.390310714,21.34831461
1014538,0.152449668,0.31934513,15.18987342
1014565,1.295822178,0.709655844,2.985074627
1014596,1.067147676,1.312863311,19.11764706
1014627,0.609798672,0.745138636,18.88111888
1014669,0.152449668,0.532241883,5.479452055
1014682,0.228674502,0.745138636,1.538461538
1014692,0.533573838,0.745138636,4.6875
1014694,0,0.49675909,9.565217391
1014709,0.990922842,0.461276298,13.04347826
1014760,0.609798672,0.283862337,6.756756757
1014767,1.219597344,1.099966557,8.484848485
1014777,0,0.603207467,6.060606061
1014833,0.457349004,1.703174024,10.0877193
1014863,0.152449668,0.212896753,9.756097561
1014869,0.609798672,0.887069804,9.615384615
1014898,0.533573838,1.029000973,7.843137255
1014901,0.533573838,0.212896753,12.75167785
1014937,0.38112417,0.461276298,4.166666667
101501,0.533573838,0.49675909,14.28571429
1015029,0.914698008,0.780621428,7.103825137
1015064,1.981845684,1.170932142,17.56756757
1015071,2.744094024,2.306381491,16.78321678
1015090,0.609798672,2.022519154,10.2739726
1015091,1.372047012,2.803140582,12.44444444
1015133,0.457349004,1.277380518,11.30434783
1015145,0.38112417,0.993518181,9.375
1015174,0.304899336,0.31934513,6.681034483
1015185,0.304899336,0.638690259,9.243697479
1015187,0.533573838,0.674173051,12.06030151
1015279,0.914698008,1.099966557,10.6870229
101528,1.14337251,0.81610422,10.6557377
1015280,0.228674502,1.63220844,18.18181818
1015335,0.609798672,0.567724675,7.407407407
1015396,0.838473174,2.022519154,16.61442006
1015401,0.152449668,0.745138636,9.375
1015432,0.38112417,0.248379545,13.26530612
1015437,0,1.170932142,7.194244604
1015451,0.533573838,0.212896753,17.1875
1015487,0.228674502,0.212896753,14.52991453
1015501,0.228674502,0.248379545,9.243697479
1015523,0.457349004,0.141931169,13.27433628
1015599,0,0.283862337,1.478743068
1015606,0.990922842,0.674173051,12.34567901
1015622,0.228674502,0.106448377,10.81081081
1015629,0.38112417,0.638690259,14.64435146
1015656,0.76224834,0.567724675,13.5371179
1015708,0.609798672,1.845105193,6.534090909
1015784,0.686023506,0.674173051,0
1015804,0.152449668,0.567724675,18.18181818
1015820,1.14337251,1.525760064,3.937007874
1015858,0.304899336,0.993518181,7.575757576
1015880,0.76224834,0.461276298,9.459459459
1015954,0.838473174,1.774139609,7.692307692
1015995,0.609798672,0.958035389,10
1016012,0.76224834,0.887069804,14.63414634
1016018,0.609798672,2.128967531,5.833333333
1016036,0.609798672,0.49675909,20
1016080,0.609798672,1.206414934,21.54696133
1016085,0.304899336,0.674173051,7.382550336
1016093,0.609798672,0.638690259,12.28070175
1016098,0.304899336,0.283862337,9.278350515
1016413,0.609798672,0.354827922,16.39344262
1016417,0,0.425793506,13.23529412
1016526,1.372047012,0.887069804,14.78873239
1016567,0.38112417,0.49675909,10.57692308
1016638,0.152449668,0.922552597,0.621118012
1016653,0.76224834,0.745138636,10.44776119
1016775,0.38112417,0.354827922,15.15151515
1016790,0.533573838,0.461276298,15.25423729
1016830,1.448271846,2.483795452,1.762114537
1016966,0.457349004,0.922552597,11.9047619
1016976,2.210520186,0.851587012,5.769230769
1017053,2.210520186,0.745138636,15.38461538
1017060,0.838473174,1.490277271,19.67213115
1017119,0.076224834,0.851587012,9.826589595
1017207,0.304899336,0.283862337,2.617801047
1017228,0.609798672,0.390310714,7.070707071
1017251,7.165134395,3.228934088,3.804347826
1017283,0.228674502,0.070965584,20.42253521
1017287,0.152449668,0.070965584,17.74193548
1017299,0.609798672,0,15.38461538
1017308,0.076224834,0.31934513,6.106870229
1017353,0.228674502,0.31934513,13.95348837
1017408,0.76224834,0.390310714,11.23595506
1017469,0.304899336,0.31934513,1.052631579
1017519,4.725939707,1.95155357,24.61538462
1020591,5.640637715,1.13544935,22.85714286
1020626,1.372047012,1.809622401,13.33333333
1020727,0.076224834,0.141931169,5.405405405
1020754,0.228674502,0.354827922,16.8
1020919,0.304899336,0.283862337,7.368421053
1021036,0.304899336,0.106448377,14.28571429
1021062,0.304899336,0.141931169,12.79069767
1021068,0.304899336,0.390310714,7.936507937
1021092,0.838473174,0.31934513,15
1021101,0.152449668,0.070965584,12.85714286
1021193,10.59525192,2.696692205,24.71910112
1021268,0.609798672,0.993518181,8.633093525
1021311,0.304899336,0.674173051,15.78947368
1021392,1.90562085,1.029000973,10.14492754
1021488,0.38112417,0.780621428,20.83333333
1021546,0.838473174,0.745138636,14.12429379
1021566,6.631560557,2.235415907,29.89130435
1021692,0.457349004,0.709655844,5.319148936
1021763,0.457349004,0.212896753,4.615384615
1021791,0.38112417,0.425793506,4.195804196
1021819,0.304899336,0.780621428,8.441558442
1021957,0.38112417,0.212896753,24.13793103
1021985,0.152449668,0.674173051,14.66666667
1022029,0.686023506,0.993518181,16.66666667
1022090,0.38112417,0.248379545,8.421052632
1022111,0.686023506,1.348346103,10.14492754
1022163,0.686023506,0.425793506,17.64705882
1022186,0.152449668,0.31934513,13.18681319
1022208,0.457349004,0.958035389,6.172839506
1022229,0.152449668,0.212896753,7.142857143
1022247,1.676946348,0.922552597,6.593406593
1022264,3.963691367,1.525760064,13.79310345
1022290,4.039916201,2.093484738,30.15873016
